Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,0,versus,0,ATHLETICO-PR,0
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,4,versus,1,VASCO DA GAMA,1
CORINTHIANS,2,versus,0,CRUZEIRO,1
CORINTHIANS,1,versus,3,SÃO PAULO,0
CORINTHIANS,2,versus,0,BOTAFOGO,1
CORINTHIANS,2,versus,2,CRUZEIRO,0
CORINTHIANS,2,versus,1,GRÊMIO,1
CORINTHIANS,2,versus,0,CRUZEIRO,1
CORINTHIANS,0,versus,1,BAHIA,0
CORINTHIANS,0,versus,0,VITÓRIA,0
CORINTHIANS,1,versus,1,SANTOS,0
CORINTHIANS,0,versus,1,FLAMENGO,0
CORINTHIANS,1,versus,0,AMÉRICA-MG,1
CORINTHIANS,1,versus,2,INTERNACIONAL,0
CORINTHIANS,0,versus,1,MILLONARIOS,0
CORINTHIANS,1,versus,1,SPORT,0
CORINTHIANS,7,versus,2,DEPORTIVO LARA,1
CORINTHIANS,1,versus,0,PALMEIRAS,1
CORINTHIANS,3,versus,1,VITÓRIA,1
CORINTHIANS,1,versus,1,CEARÁ,0
CORINTHIANS,1,versus,2,INDEPENDIENTE,0
CORINTHIANS,0,versus,1,ATLÉTICO-MG,0
CORINTHIANS,0,versus,0,VITÓRIA,0
CORINTHIANS,4,versus,0,PARANÁ CLUBE,1
CORINTHIANS,1,versus,0,INDEPENDIENTE,1
CORINTHIANS,2,versus,1,FLUMINENSE,1
CORINTHIANS,1,versus,0,PALMEIRAS,1
CORINTHIANS,0,versus,1,PALMEIRAS,0
CORINTHIANS,1,versus,0,SÃO PAULO,1
CORINTHIANS,0,versus,1,SÃO PAULO,0
CORINTHIANS,2,versus,0,RED BULL BRAGANTINO,1
CORINTHIANS,2,versus,3,RED BULL BRAGANTINO,0
CORINTHIANS,2,versus,0,DEPORTIVO LARA,1
CORINTHIANS,2,versus,0,BOTAFOGO-SP,1
CORINTHIANS,1,versus,0,MIRASSOL,1
CORINTHIANS,1,versus,1,SANTOS,0
CORINTHIANS,0,versus,0,MILLONARIOS,0
CORINTHIANS,2,versus,0,PALMEIRAS,1
CORINTHIANS,1,versus,1,RED BULL BRASIL,0
CORINTHIANS,0,versus,1,SÃO BENTO,0
CORINTHIANS,1,versus,2,SANTO ANDRÉ,0
CORINTHIANS,1,versus,0,NOVORIZONTINO,1
CORINTHIANS,2,versus,1,SÃO PAULO,1
CORINTHIANS,2,versus,1,FERROVIÁRIA,1
CORINTHIANS,4,versus,0,SÃO CAETANO,1
CORINTHIANS,0,versus,1,PONTE PRETA,0
CORINTHIANS,2,versus,4,RANGERS,0
CORINTHIANS,1,versus,1,PSV EINDHOVEN,0
CORINTHIANS,0,versus,1,SPORT,0
CORINTHIANS,2,versus,2,ATLÉTICO-MG,0
CORINTHIANS,0,versus,3,FLAMENGO,0
CORINTHIANS,3,versus,1,FLUMINENSE,1
CORINTHIANS,1,versus,0,AVAÍ,1
CORINTHIANS,1,versus,0,ATHLETICO-PR,1
CORINTHIANS,3,versus,2,PALMEIRAS,1
CORINTHIANS,0,versus,1,PONTE PRETA,0
